target,target_label_plain,best_top5_recall,best_enrichment,best_spearman,topology_penalty_random_minus_topology,rac_gain_delta_recall_1000_labels,consensus_shortlist_fold_enrichment_vs_dataset_median,consensus_shortlist_fraction_true_top5
CO2_0p015bar_298K_mmolg,CO2 0.015 bar,0.5590043189948846,11.180086379897691,0.8304623638107154,0.1062455336548043,0.0992039519038364,12.57364425797051,0.656
CO2_0p150bar_298K_mmolg,CO2 0.150 bar,0.5855149999276623,11.710299998553246,0.8956963392986811,0.1349156223131793,0.1282048060189446,7.96366730427327,0.804
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,0.563911297238511,11.27822594477022,0.8714120326321115,0.1870997813396011,0.1753526367978003,2.008086952303239,0.992
CH4_65bar_298K_mmolg,CH4 65 bar,0.8631269268245255,17.262538536490506,0.9892082048597992,0.0650630472070309,0.0392768587160261,2.729293043823346,1.0
