target,budget,mean_top5_recall,rac_gain,topology_penalty
CO2_0p015bar_298K_mmolg,1000,0.5061737021997372,0.09920395190383635,0.10624553365480427
CO2_0p150bar_298K_mmolg,1000,0.5184608674656154,0.12820480601894474,0.13491562231317933
CH4_5p8bar_298K_mmolg,1000,0.48838403795261154,0.17535263679780033,0.18709978133960103
CH4_65bar_298K_mmolg,1000,0.8236189321610207,0.03927685871602615,0.06506304720703093
