name,occurrence,definition_count,line,end_line,kind,active
v41_target_label,1,1,6116,6117,FunctionDef,True
v41_feature_label,1,1,6120,6121,FunctionDef,True
v41_model_label,1,1,6124,6125,FunctionDef,True
v41_split_label,1,1,6128,6129,FunctionDef,True
v41_apply_paper_style,1,1,6132,6154,FunctionDef,True
v41_panel_label,1,1,6157,6159,FunctionDef,True
v41_save_figure,1,1,6162,6185,FunctionDef,True
v41_clean_metric_df,1,1,6188,6205,FunctionDef,True
v41_preferred_feature,1,1,6208,6211,FunctionDef,True
v41_target_stats,1,1,6214,6217,FunctionDef,True
v41_heatmap,1,1,6220,6246,FunctionDef,True
v41_paper_curve,1,1,6249,6270,FunctionDef,True
v41_consensus_work,1,1,6273,6285,FunctionDef,True
v41_top_consensus_per_target,1,1,6288,6298,FunctionDef,True
v41_add_true_percentile_columns,1,1,6301,6326,FunctionDef,True
write_v41_final_paper_tables,1,1,6329,6441,FunctionDef,True
save_manuscript_si_tables,3,3,6449,6454,FunctionDef,True
plot_figure_1_framework,2,7,6457,6493,FunctionDef,False
plot_figure_2_performance,3,8,6496,6605,FunctionDef,False
plot_figure_3_calibration,3,8,6608,6724,FunctionDef,False
plot_figure_4_failure_anatomy,4,9,6727,6858,FunctionDef,False
plot_figure_5_external_realism,4,9,6861,6975,FunctionDef,False
plot_external_si_figures,2,2,6978,7026,FunctionDef,True
plot_si_figures,3,8,7029,7077,FunctionDef,False
write_run_report,3,8,7080,7132,FunctionDef,False
main,1,1,7138,7188,FunctionDef,True
v42_apply_story_style,1,1,7223,7246,FunctionDef,True
v42_panel_label,1,1,7249,7250,FunctionDef,True
v42_save_figure,1,1,7253,7274,FunctionDef,True
v42_read_table,1,1,7277,7285,FunctionDef,True
v42_preferred_feature,1,1,7288,7306,FunctionDef,True
v42_clean_agg,1,1,7309,7333,FunctionDef,True
v42_target_summary,1,1,7336,7358,FunctionDef,True
v42_target_std_map,1,1,7361,7367,FunctionDef,True
v42_order_targets,1,1,7370,7375,FunctionDef,True
v42_label_target,1,1,7378,7379,FunctionDef,True
v42_heatmap,1,1,7382,7411,FunctionDef,True
v42_top_consensus,1,1,7414,7429,FunctionDef,True
v42_add_percentiles_to_candidates,1,1,7432,7454,FunctionDef,True
v42_learning_curves,1,1,7457,7469,FunctionDef,True
v42_descriptor_gain_table,1,1,7472,7484,FunctionDef,True
v42_split_stress_table,1,1,7487,7500,FunctionDef,True
v42_plot_figure_1,1,1,7503,7577,FunctionDef,True
v42_plot_figure_2,1,1,7580,7682,FunctionDef,True
v42_plot_figure_3,1,1,7685,7765,FunctionDef,True
v42_precision_yield_frontier,1,1,7768,7797,FunctionDef,True
v42_plot_figure_4,1,1,7800,7880,FunctionDef,True
v42_consensus_true_enrichment,1,1,7883,7910,FunctionDef,True
v42_plot_figure_5,1,1,7913,8012,FunctionDef,True
v42_plot_external_domain_overlap_si,1,1,8015,8053,FunctionDef,True
v42_plot_si_figures,1,1,8056,8104,FunctionDef,True
v42_write_manifest,1,1,8107,8117,FunctionDef,True
v42_write_run_report,1,1,8120,8174,FunctionDef,True
plot_figure_1_framework,3,7,8178,8180,FunctionDef,False
plot_figure_2_performance,4,8,8183,8184,FunctionDef,False
plot_figure_3_calibration,4,8,8187,8188,FunctionDef,False
plot_figure_4_failure_anatomy,5,9,8191,8193,FunctionDef,False
plot_figure_5_external_realism,5,9,8196,8198,FunctionDef,False
plot_si_figures,4,8,8201,8203,FunctionDef,False
write_run_report,4,8,8206,8207,FunctionDef,False
v43_apply_publication_style,1,1,8239,8262,FunctionDef,True
v43_panel_label,1,1,8265,8267,FunctionDef,True
v43_save_figure,1,1,8270,8289,FunctionDef,True
v43_label_plain,1,1,8292,8300,FunctionDef,True
v43_numeric_col,1,1,8303,8313,FunctionDef,True
v43_true_enrichment_table,1,1,8316,8349,FunctionDef,True
v43_top_consensus_tables,1,1,8352,8361,FunctionDef,True
v43_candidate_funnel_table,1,1,8364,8404,FunctionDef,True
v43_tier_fraction_from_metrics,1,1,8407,8439,FunctionDef,True
v43_main_claims_table,1,1,8442,8476,FunctionDef,True
v43_plot_figure_1,1,1,8479,8525,FunctionDef,True
v43_plot_figure_2,1,1,8528,8605,FunctionDef,True
v43_plot_figure_3,1,1,8608,8672,FunctionDef,True
v43_plot_figure_4,1,1,8675,8738,FunctionDef,True
v43_plot_figure_5,1,1,8741,8828,FunctionDef,True
v43_plot_external_domain_overlap_si,1,1,8831,8865,FunctionDef,True
v43_plot_si_figures,1,1,8868,8890,FunctionDef,True
v43_write_manifest,1,1,8893,8903,FunctionDef,True
v43_write_run_report,1,1,8906,8952,FunctionDef,True
plot_figure_1_framework,4,7,8956,8958,FunctionDef,False
plot_figure_2_performance,5,8,8961,8962,FunctionDef,False
plot_figure_3_calibration,5,8,8965,8966,FunctionDef,False
plot_figure_4_failure_anatomy,6,9,8969,8971,FunctionDef,False
plot_figure_5_external_realism,6,9,8974,8976,FunctionDef,False
plot_si_figures,5,8,8979,8981,FunctionDef,False
write_run_report,5,8,8984,8985,FunctionDef,False
v44_apply_style,1,1,9033,9056,FunctionDef,True
v44_tlabel,1,1,9059,9060,FunctionDef,True
v44_slabel,1,1,9063,9064,FunctionDef,True
v44_panel,1,1,9067,9068,FunctionDef,True
v44_save,1,1,9071,9088,FunctionDef,True
v44_read_metrics_all,1,1,9091,9093,FunctionDef,True
v44_clean_agg,1,1,9096,9112,FunctionDef,True
v44_order_targets,1,1,9115,9121,FunctionDef,True
v45_target_mean_table,1,1,9124,9140,FunctionDef,True
v44_heatmap,1,1,9143,9170,FunctionDef,True
v44_true_enrichment_table,1,1,9173,9179,FunctionDef,True
v44_top_consensus,1,1,9182,9192,FunctionDef,True
v44_final_claims_table,1,1,9195,9232,FunctionDef,True
v44_candidate_tables,1,1,9235,9245,FunctionDef,True
v44_plot_figure_1,1,1,9248,9301,FunctionDef,True
v44_plot_figure_2,1,1,9304,9385,FunctionDef,True
v44_plot_figure_3,1,1,9388,9464,FunctionDef,True
v44_tier_fraction_from_metrics,1,1,9467,9489,FunctionDef,True
v44_plot_figure_4,1,1,9492,9571,FunctionDef,True
v44_candidate_funnel,1,1,9574,9599,FunctionDef,True
