target,topology_penalty_random_minus_topology
CH4_65bar_298K_mmolg,0.06506304720703093
CO2_0p015bar_298K_mmolg,0.10624553365480427
CO2_0p150bar_298K_mmolg,0.13491562231317933
CH4_5p8bar_298K_mmolg,0.18709978133960103
