target,budget,mean,lo,hi,n
CH4_5p8bar_298K_mmolg,10,2.273374024964251,0.9759942672877104,4.071963742732691,30
CH4_5p8bar_298K_mmolg,20,3.0011979346856776,0.9759942672877104,5.033273982407425,30
CH4_5p8bar_298K_mmolg,50,5.803188008227977,3.7418822435364483,7.3769620346431575,30
CH4_5p8bar_298K_mmolg,100,6.91325493511927,5.221913196495164,8.006706515041472,30
CH4_5p8bar_298K_mmolg,200,8.201805234624835,6.435564052511996,9.142529559297742,30
CH4_5p8bar_298K_mmolg,500,9.269869640247828,7.311606804372943,10.48667075945489,30
CH4_5p8bar_298K_mmolg,1000,9.767680759052231,7.653511109479172,11.105983518452165,30
CH4_65bar_298K_mmolg,10,4.678345410303738,0.987654964514095,8.53042954515936,30
CH4_65bar_298K_mmolg,20,6.394366591981735,0.987654964514095,11.428579967755594,30
CH4_65bar_298K_mmolg,50,9.825139608699011,3.452288301024437,14.026894885362289,30
CH4_65bar_298K_mmolg,100,12.412111588049054,7.206465350520975,15.378580935457427,30
CH4_65bar_298K_mmolg,200,14.415630325872412,13.003129207130348,15.810147893649397,30
CH4_65bar_298K_mmolg,500,15.742531043114923,14.968094651366982,16.568332383611803,30
CH4_65bar_298K_mmolg,1000,16.472378643220413,15.628112388843585,17.128257805955442,30
CO2_0p015bar_298K_mmolg,10,3.2115287015451135,0.9809225300825055,5.651928719456222,30
CO2_0p015bar_298K_mmolg,20,4.258197921669237,0.9809225300825055,7.233491399563273,30
CO2_0p015bar_298K_mmolg,50,5.737737207563494,3.961348101986582,7.578377184230297,30
CO2_0p015bar_298K_mmolg,100,7.091144879492714,5.556145668958004,8.162780557484503,30
CO2_0p015bar_298K_mmolg,200,8.386641745428745,6.437908438026843,9.4883638766877,30
CO2_0p015bar_298K_mmolg,500,9.477490773572612,8.12638951962129,10.210535867528439,30
CO2_0p015bar_298K_mmolg,1000,10.123474043994745,8.533652640577634,10.883910429680162,30
CO2_0p150bar_298K_mmolg,10,3.0088997959487225,0.9467179384640267,5.295147028283036,30
CO2_0p150bar_298K_mmolg,20,3.9317088160407745,0.9467179384640267,6.891679106101592,30
CO2_0p150bar_298K_mmolg,50,5.7026743420953245,3.6218195078282647,7.547657571316261,30
CO2_0p150bar_298K_mmolg,100,7.321862953621216,5.881342431016368,8.712676424288388,30
CO2_0p150bar_298K_mmolg,200,8.304571915745553,6.975565445432776,9.318938114553243,30
CO2_0p150bar_298K_mmolg,500,9.33609569701524,7.117440753314925,10.493190202138436,30
CO2_0p150bar_298K_mmolg,1000,10.369217349312306,8.302146794764504,11.318714736560857,30
