target_label,Random,Geometry,Metal,Functional,Ligand,Topology
CO$_2$ 0.015 bar,0.5260050161232533,0.5212898003583486,0.49313115903533034,0.5469370137307668,0.5299197414822754,0.4197594824684491
CO$_2$ 0.150 bar,0.5449516302400573,0.546570674761159,0.5082199831492735,0.5715016194865749,0.529485289229749,0.410036007926878
CH$_4$ 5.8 bar,0.5258330347545682,0.5280978705114742,0.4969879206722577,0.5154515221152487,0.5252006262471532,0.3387332534149672
CH$_4$ 65 bar,0.8392547474023647,0.8340622595313436,0.8108520925083003,0.8402407797917515,0.84311201353703,0.7741917001953338
