target,mof_id,y_true_median,y_pred_median,y_pred_max,split_lower_median,split_lower_max,split_upper_median,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_models,n_seeds,n_splits,n_feature_sets,n_budgets,trusted_support,Density,Di,Df,Dif,filename,consensus_pass,consensus_score,consensus_score_percentile_within_target,true_percentile,pred_percentile,target_label_plain
CH4_5p8bar_298K_mmolg,DB0-m3_o1530_o158_f0_fsc.sym.19,8.073787689208984,7.647061264263768,9.009929,6.3976974,7.1728125,8.859231,2.417474069017052,0.7214,0.7427333333333334,0.41505,41,5,5,4,2,5,41,0.861713,7.26659,4.9897,7.14581,DB0-m3_o1530_o158_f0_fsc.sym.19.cif,True,50.92171666666667,0.998364141992475,0.9958352747213361,0.9903659367047776,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o156_o45_f0_fsc.sym.3,9.346652030944824,7.7092595,8.388999481163646,6.46592355,7.307364284773028,8.929479323827266,2.422331655860572,0.7879499999999999,0.8004833333333333,0.4004583333333333,38,5,5,4,2,3,38,0.790536,6.20063,5.25131,6.20063,DB0-m3_o156_o45_f0_fsc.sym.3.cif,True,50.805025,0.9982005561917224,0.9998172108526576,0.9912942188452026,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o43_o156_f0_fsc.sym.47,8.159960746765137,7.6950073,8.102945,6.506613178967056,6.8879733,8.960706697463989,2.4229704008046777,0.822,0.7887,0.3973666666666666,37,5,5,4,1,3,37,0.731117,8.02675,5.27366,8.02675,DB0-m3_o43_o156_f0_fsc.sym.47.cif,True,50.80076666666666,0.99803697039097,0.9965270062004946,0.9910612522848643,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o43_o156_f0_fsc.sym.66,7.765488147735596,7.563266486915819,8.061287,6.300605894627857,7.0135927,8.822646613969377,2.3965276368763515,0.5950666666666666,0.6474,0.4817666666666667,37,5,5,5,1,3,37,0.757011,6.64761,5.25794,6.64761,DB0-m3_o43_o156_f0_fsc.sym.66.cif,True,50.7871,0.9978733845902176,0.9921185620587075,0.9887996845991183,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o1520_o155_f0_fsc.sym.16,8.44785213470459,7.625949812996687,8.198912,6.445787326089368,7.142935,8.780202696500998,2.294833304062403,0.7699666666666667,0.7210666666666667,0.5763666666666667,30,5,5,5,1,5,30,0.760087,7.80245,5.26601,7.80245,DB0-m3_o1520_o155_f0_fsc.sym.16.cif,True,50.67823333333333,0.9977097987894652,0.9981004265080105,0.9899143399878141,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o440_o156_f0_fsc.sym.14,8.88448715209961,7.873113163654221,8.55741669948681,6.621788197574711,7.4643245,9.084076911606122,2.481934545087624,0.8908333333333334,0.9016666666666666,0.3287416666666667,36,5,4,4,1,4,36,0.753791,6.40572,5.24893,6.40572,DB0-m3_o440_o156_f0_fsc.sym.14.cif,True,50.258741666666666,0.9975462129887126,0.9993369413282678,0.9935127773198094,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o152_o156_f0_fsc.sym.16,8.094706535339355,7.5947404213256835,8.138079,6.322232884751425,7.0530195,8.8211435,2.4547398834017917,0.62665,0.6858833333333334,0.3510666666666667,42,5,5,4,1,3,42,0.834221,7.01632,5.19069,6.89506,DB0-m3_o152_o156_f0_fsc.sym.16.cif,True,50.23603333333333,0.99738262718796,0.9960001433640371,0.9893337156374323,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o440_o156_f0_fsc.sym.3,8.33431339263916,7.729810247873799,8.539325325012207,6.4409904,7.3172054,8.928074066311975,2.444759908146682,0.7656666666666667,0.8164666666666667,0.3526166666666667,39,5,4,4,1,5,39,0.753301,7.32856,5.28002,7.32733,DB0-m3_o440_o156_f0_fsc.sym.3.cif,True,49.86088333333333,0.9972190413872076,0.997598652378051,0.9916132038278198,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o156_o510_f0_fsc.sym.26,7.655782222747803,7.660668816848755,8.346306,6.463902484798508,7.290329,8.81867285534668,2.299277739745293,0.7860833333333332,0.75645,0.5502333333333334,30,5,4,5,1,4,30,0.784478,6.67539,5.29289,6.57329,DB0-m3_o156_o510_f0_fsc.sym.26.cif,True,49.8518,0.9970554555864553,0.9904913802372675,0.9905702304576897,CH4 5.8 bar
CH4_5p8bar_298K_mmolg,DB0-m3_o440_o156_f0_fsc.sym.81,8.015520095825195,7.641274081975799,8.217762,6.3861883677803135,7.129213,8.833170544678307,2.479815769487711,0.7087333333333333,0.7375666666666667,0.3293166666666667,37,5,5,4,2,3,37,0.799661,6.58483,5.2684,6.22459,DB0-m3_o440_o156_f0_fsc.sym.81.cif,True,49.72431666666666,0.9968918697857028,0.9953693416006595,0.9902655818787857,CH4 5.8 bar
