target_label,Random,Geometry,Metal,Functional,Ligand,Topology
CO$_2$ 0.015 bar,-0.0010974517042400046,-0.0013478647499459262,0.011862545666899815,0.01735039063371475,0.0014657236982005494,0.05979838158185822
CO$_2$ 0.150 bar,-0.00035554281208569625,-0.0011665199049680553,0.02535829180377793,0.01425919371158857,0.0021664694156453335,0.03901257743238777
CH$_4$ 5.8 bar,-0.0014881187054227364,-0.0005671565962641845,0.007957071064421783,0.01641543391698652,-0.0014434428227350527,-0.023377369586345287
CH$_4$ 65 bar,-0.00048098634457545143,0.00044409624423698003,-0.024231745437915442,0.017202897018815742,0.002877889355973573,-0.005097890026106588
