target,feature_set,split,model,budget,top_frac,rmse_mean,rmse_ci_low,rmse_ci_high,mae_mean,mae_ci_low,mae_ci_high,r2_mean,r2_ci_low,r2_ci_high,spearman_mean,spearman_ci_low,spearman_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,jaccard_mean,jaccard_ci_low,jaccard_ci_high,enrichment_mean,enrichment_ci_low,enrichment_ci_high,ndcg_mean,ndcg_ci_low,ndcg_ci_high,split_coverage_mean,split_coverage_ci_low,split_coverage_ci_high,split_mean_width_mean,split_mean_width_ci_low,split_mean_width_ci_high,split_median_width_mean,split_median_width_ci_low,split_median_width_ci_high,local_coverage_mean,local_coverage_ci_low,local_coverage_ci_high,local_mean_width_mean,local_mean_width_ci_low,local_mean_width_ci_high,mondrian_coverage_mean,mondrian_coverage_ci_low,mondrian_coverage_ci_high,mondrian_mean_width_mean,mondrian_mean_width_ci_low,mondrian_mean_width_ci_high,trusted_count_mean,trusted_count_ci_low,trusted_count_ci_high,uncertain_count_mean,uncertain_count_ci_low,uncertain_count_ci_high,rejected_count_mean,rejected_count_ci_low,rejected_count_ci_high,fit_seconds_mean,fit_seconds_ci_low,fit_seconds_ci_high,n_runs
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,0.01,1.2576188978774503,1.184108114997906,1.329384619798105,0.9895658551368908,0.9307707719519354,1.0439309241082426,0.1878119095775556,0.0909585035200727,0.2858261715542868,0.4605876006146578,0.3433124222146084,0.5844481420346371,0.0146576647543417,0.0037708830548925,0.0307866970124062,0.0146576647543417,0.0037708830548925,0.0307866970124062,0.0074441271978028,0.0018944844124699,0.0156745798727,1.4657664754341766,0.3770883054892602,3.078669701240628,0.5252055746569575,0.4515773725002031,0.6073987220455083,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4.269458061981202,3.984107386503221,4.514508786258698,0.9194799695036104,0.9058812812090208,0.9330862816034362,4.08058110659686,3.838099604437128,4.303559929919267,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4650.4,4335.2,4988.6,18607.4,17339.6,19960.6,23257.2,21674.2,24948.4,0.8593476295471192,0.7454747581481933,0.9864890575408936,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,0.05,1.2576188978774503,1.184108114997906,1.329384619798105,0.9895658551368908,0.9307707719519354,1.0439309241082426,0.1878119095775556,0.0909585035200727,0.2858261715542868,0.4605876006146578,0.3433124222146084,0.5844481420346371,0.0871566144948687,0.0257040257459306,0.1684714056704955,0.0871566144948687,0.0257040257459306,0.1684714056704955,0.0478834367703413,0.0136873349337184,0.0944793858145694,1.7431322898973751,0.5140805149186142,3.369428113409912,0.5961583123076946,0.5100509985102566,0.6915755693304341,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4.269458061981202,3.984107386503221,4.514508786258698,0.9194799695036104,0.9058812812090208,0.9330862816034362,4.08058110659686,3.838099604437128,4.303559929919267,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4650.4,4335.2,4988.6,18607.4,17339.6,19960.6,23257.2,21674.2,24948.4,0.8593476295471192,0.7454747581481933,0.9864890575408936,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,10,0.1,1.2576188978774503,1.184108114997906,1.329384619798105,0.9895658551368908,0.9307707719519354,1.0439309241082426,0.1878119095775556,0.0909585035200727,0.2858261715542868,0.4605876006146578,0.3433124222146084,0.5844481420346371,0.1581340415619667,0.055125223902139,0.2672021909343943,0.1581340415619667,0.055125223902139,0.2672021909343943,0.0915395958222698,0.0297735916053218,0.1612852424720137,1.5813404156196678,0.5512522390213906,2.6720219093439423,0.6461443216637682,0.5580565407589261,0.7383504673990368,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4.269458061981202,3.984107386503221,4.514508786258698,0.9194799695036104,0.9058812812090208,0.9330862816034362,4.08058110659686,3.838099604437128,4.303559929919267,0.9080581832546836,0.893606181608814,0.9225343269562948,4.269458061981202,3.984107386503221,4.514508786258698,4650.4,4335.2,4988.6,18607.4,17339.6,19960.6,23257.2,21674.2,24948.4,0.8593476295471192,0.7454747581481933,0.9864890575408936,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,0.01,1.1745263859915551,1.1089242814033216,1.2540538305246824,0.8978510638928672,0.8621164720701792,0.9413746749479112,0.292168805642615,0.1993324008958933,0.3756674967013133,0.6190165184818709,0.5631350496598374,0.667072146010047,0.0590499897713769,0.0259176018266892,0.0963372347458911,0.0590499897713769,0.0259176018266892,0.0963372347458911,0.0309172497932236,0.0132295418152183,0.0512647609410952,5.9049989771376925,2.5917601826689265,9.633723474589114,0.6579817663528368,0.6228185855602921,0.6931021498081522,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,4.024203998947144,3.786286375226974,4.183523157320023,0.919705283535777,0.907609088820124,0.9322397209932608,3.839569643058385,3.6977901153397736,3.959752793944905,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,3935.2,3277.8,4514.0,19322.6,17669.280000000002,20829.885,23257.2,21674.2,24948.4,1.0089498996734618,0.8701125621795655,1.1484294414520264,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,0.05,1.1745263859915551,1.1089242814033216,1.2540538305246824,0.8978510638928672,0.8621164720701792,0.9413746749479112,0.292168805642615,0.1993324008958933,0.3756674967013133,0.6190165184818709,0.5631350496598374,0.667072146010047,0.145870958485594,0.0892419143094841,0.2060147567158672,0.145870958485594,0.0892419143094841,0.2060147567158672,0.0801074057550601,0.0469410802615648,0.1151629960295742,2.917419169711881,1.7848382861896843,4.120295134317344,0.7098493726796263,0.6736582069507699,0.7448957951716266,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,4.024203998947144,3.786286375226974,4.183523157320023,0.919705283535777,0.907609088820124,0.9322397209932608,3.839569643058385,3.6977901153397736,3.959752793944905,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,3935.2,3277.8,4514.0,19322.6,17669.280000000002,20829.885,23257.2,21674.2,24948.4,1.0089498996734618,0.8701125621795655,1.1484294414520264,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,20,0.1,1.1745263859915551,1.1089242814033216,1.2540538305246824,0.8978510638928672,0.8621164720701792,0.9413746749479112,0.292168805642615,0.1993324008958933,0.3756674967013133,0.6190165184818709,0.5631350496598374,0.667072146010047,0.239355993329115,0.1945174097026014,0.2929329390756124,0.239355993329115,0.1945174097026014,0.2929329390756124,0.1373549689336296,0.1080978995697788,0.1718492804881706,2.393559933291151,1.9451740970260147,2.9293293907561235,0.7398875510151661,0.7166225221656565,0.7677184182692475,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,4.024203998947144,3.786286375226974,4.183523157320023,0.919705283535777,0.907609088820124,0.9322397209932608,3.839569643058385,3.6977901153397736,3.959752793944905,0.9104930477316956,0.9009892476421104,0.9206408025527671,4.024203998947144,3.786286375226974,4.183523157320023,3935.2,3277.8,4514.0,19322.6,17669.280000000002,20829.885,23257.2,21674.2,24948.4,1.0089498996734618,0.8701125621795655,1.1484294414520264,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,0.01,1.0803231645264404,1.0597441332782154,1.0967034761304848,0.8339942568975343,0.8165186792019317,0.8465751877637386,0.4039215571546901,0.3747451608205195,0.4330379316483768,0.6580486092616178,0.6366153074977593,0.6748445961936758,0.01828328371751,0.0132373931011149,0.0247817907140027,0.01828328371751,0.0132373931011149,0.0247817907140027,0.0092388404264429,0.0066668555629549,0.0125579613337892,1.8283283717510048,1.3237393101115016,2.478179071400279,0.6347552948915821,0.6005887159095388,0.6672201044333701,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,3.679576188492775,3.584636532211899,3.821399826049805,0.91618901327737,0.8998843652944976,0.9325908532902938,3.615111340710388,3.45249995107447,3.7826212249900286,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,4525.2,4201.255,4885.0,18732.6,17468.8,20064.2,23257.2,21674.2,24948.4,1.264305543899536,1.078959809541702,1.4604712963104247,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,0.05,1.0803231645264404,1.0597441332782154,1.0967034761304848,0.8339942568975343,0.8165186792019317,0.8465751877637386,0.4039215571546901,0.3747451608205195,0.4330379316483768,0.6580486092616178,0.6366153074977593,0.6748445961936758,0.1693685859566004,0.1285537150894083,0.2136888641149197,0.1693685859566004,0.1285537150894083,0.2136888641149197,0.0932594644204819,0.0689822393635386,0.1196887621238557,3.387371719132009,2.5710743017881663,4.273777282298395,0.7180585829185137,0.7032159182517896,0.7332226993822369,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,3.679576188492775,3.584636532211899,3.821399826049805,0.91618901327737,0.8998843652944976,0.9325908532902938,3.615111340710388,3.45249995107447,3.7826212249900286,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,4525.2,4201.255,4885.0,18732.6,17468.8,20064.2,23257.2,21674.2,24948.4,1.264305543899536,1.078959809541702,1.4604712963104247,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,50,0.1,1.0803231645264404,1.0597441332782154,1.0967034761304848,0.8339942568975343,0.8165186792019317,0.8465751877637386,0.4039215571546901,0.3747451608205195,0.4330379316483768,0.6580486092616178,0.6366153074977593,0.6748445961936758,0.2875562613739959,0.2518989639828065,0.32327998156109,0.2875562613739959,0.2518989639828065,0.32327998156109,0.1686377705024432,0.1444853735262811,0.1928375984692447,2.87556261373996,2.5189896398280656,3.232799815610901,0.7584352362885021,0.7502875264880393,0.7672704041693005,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,3.679576188492775,3.584636532211899,3.821399826049805,0.91618901327737,0.8998843652944976,0.9325908532902938,3.615111340710388,3.45249995107447,3.7826212249900286,0.9056822350445596,0.8965187037666847,0.9154114544305856,3.6795761884927742,3.584636532211899,3.821399826049805,4525.2,4201.255,4885.0,18732.6,17468.8,20064.2,23257.2,21674.2,24948.4,1.264305543899536,1.078959809541702,1.4604712963104247,5
CH4_5p8bar_298K_mmolg,geometry_only,functional_grouped,extra_trees,100,0.01,1.0254808864889953,0.989121539646853,1.0789314195556128,0.7822082760155715,0.7550995680140906,0.8193399263552437,0.4623874782713563,0.4060066946234744,0.4949153153349122,0.6974350034985958,0.6742062843101309,0.7106150420547932,0.0721342366832971,0.0304780161668051,0.1147936482628387,0.0721342366832971,0.0304780161668051,0.1147936482628387,0.0383725681453004,0.0154988471229095,0.0623290702305615,7.213423668329725,3.0478016166805166,11.479364826283874,0.6897539259158734,0.6554837762914062,0.7187524533786215,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3.469201683044433,3.319299963569641,3.623150184440613,0.9135055506880636,0.8958951949451339,0.9296292886584412,3.458671355787245,3.299813332572363,3.63292314908602,0.9065555719870249,0.8974633327756629,0.9166837046675618,3.469201683044434,3.319299963569641,3.623150184440613,3432.2,2739.8,4140.2,19827.6,17817.0,21796.665,23255.2,21672.2,24946.4,1.437267541885376,1.2231826782226562,1.664712381362915,5
