target,target_label_plain,mof_id,filename,consensus_score,y_true_median,y_pred_median,split_lower_median,split_upper_median,true_percentile,pred_percentile,n_models,n_seeds,n_splits,n_budgets,trusted_support,y_pred_max,split_lower_max,interval_width_median,target_lower_bound_percentile_median,target_pred_percentile_median,target_interval_width_percentile_small_median,n_support_rows,n_feature_sets,Density,Di,Df,Dif,consensus_pass,consensus_score_percentile_within_target
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o156_o45_f0_fsc.sym.3,DB0-m3_o156_o45_f0_fsc.sym.3.cif,50.805025,9.346652030944824,7.7092595,6.46592355,8.929479323827266,0.9998172108526576,0.9912942188452026,5,5,4,3,38,8.388999481163646,7.307364284773028,2.422331655860572,0.7879499999999999,0.8004833333333333,0.4004583333333333,38,2,0.790536,6.20063,5.25131,6.20063,True,0.9982005561917224
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o43_o156_f0_fsc.sym.47,DB0-m3_o43_o156_f0_fsc.sym.47.cif,50.80076666666666,8.159960746765137,7.6950073,6.506613178967056,8.960706697463989,0.9965270062004946,0.9910612522848643,5,5,4,3,37,8.102945,6.8879733,2.4229704008046777,0.822,0.7887,0.3973666666666666,37,1,0.731117,8.02675,5.27366,8.02675,True,0.99803697039097
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o43_o156_f0_fsc.sym.66,DB0-m3_o43_o156_f0_fsc.sym.66.cif,50.7871,7.765488147735596,7.563266486915819,6.300605894627857,8.822646613969377,0.9921185620587075,0.9887996845991183,5,5,5,3,37,8.061287,7.0135927,2.3965276368763515,0.5950666666666666,0.6474,0.4817666666666667,37,1,0.757011,6.64761,5.25794,6.64761,True,0.9978733845902176
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o1520_o155_f0_fsc.sym.16,DB0-m3_o1520_o155_f0_fsc.sym.16.cif,50.67823333333333,8.44785213470459,7.625949812996687,6.445787326089368,8.780202696500998,0.9981004265080105,0.9899143399878141,5,5,5,5,30,8.198912,7.142935,2.294833304062403,0.7699666666666667,0.7210666666666667,0.5763666666666667,30,1,0.760087,7.80245,5.26601,7.80245,True,0.9977097987894652
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o440_o156_f0_fsc.sym.14,DB0-m3_o440_o156_f0_fsc.sym.14.cif,50.258741666666666,8.88448715209961,7.873113163654221,6.621788197574711,9.084076911606122,0.9993369413282678,0.9935127773198094,5,4,4,4,36,8.55741669948681,7.4643245,2.481934545087624,0.8908333333333334,0.9016666666666666,0.3287416666666667,36,1,0.753791,6.40572,5.24893,6.40572,True,0.9975462129887126
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o152_o156_f0_fsc.sym.16,DB0-m3_o152_o156_f0_fsc.sym.16.cif,50.23603333333333,8.094706535339355,7.5947404213256835,6.322232884751425,8.8211435,0.9960001433640371,0.9893337156374323,5,5,4,3,42,8.138079,7.0530195,2.4547398834017917,0.62665,0.6858833333333334,0.3510666666666667,42,1,0.834221,7.01632,5.19069,6.89506,True,0.99738262718796
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o440_o156_f0_fsc.sym.3,DB0-m3_o440_o156_f0_fsc.sym.3.cif,49.86088333333333,8.33431339263916,7.729810247873799,6.4409904,8.928074066311975,0.997598652378051,0.9916132038278198,5,4,4,5,39,8.539325325012207,7.3172054,2.444759908146682,0.7656666666666667,0.8164666666666667,0.3526166666666667,39,1,0.753301,7.32856,5.28002,7.32733,True,0.9972190413872076
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o156_o510_f0_fsc.sym.26,DB0-m3_o156_o510_f0_fsc.sym.26.cif,49.8518,7.655782222747803,7.660668816848755,6.463902484798508,8.81867285534668,0.9904913802372675,0.9905702304576897,5,4,5,4,30,8.346306,7.290329,2.299277739745293,0.7860833333333332,0.75645,0.5502333333333334,30,1,0.784478,6.67539,5.29289,6.57329,True,0.9970554555864553
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o440_o156_f0_fsc.sym.81,DB0-m3_o440_o156_f0_fsc.sym.81.cif,49.72431666666666,8.015520095825195,7.641274081975799,6.3861883677803135,8.833170544678307,0.9953693416006595,0.9902655818787857,5,5,4,3,37,8.217762,7.129213,2.479815769487711,0.7087333333333333,0.7375666666666667,0.3293166666666667,37,2,0.799661,6.58483,5.2684,6.22459,True,0.9968918697857028
CH4_5p8bar_298K_mmolg,CH4 5.8 bar,DB0-m3_o152_o155_f0_fsc.sym.2,DB0-m3_o152_o155_f0_fsc.sym.2.cif,49.65705,8.744529724121094,7.701595492362976,6.389586344985139,8.944897462726999,0.9990537973549335,0.9911723594136411,5,5,4,4,36,8.390298,7.334321,2.432496149999999,0.7121666666666666,0.7945,0.3707166666666667,36,1,0.754416,8.41367,5.23006,8.41367,True,0.99672828398495
