target,bin_index,bin_left,bin_right,bin_center,count,p95_threshold
CO2_0p015bar_298K_mmolg,1,0.0,0.1153244654337565,0.05766223271687825,177128,0.5755964219570157
CO2_0p015bar_298K_mmolg,2,0.1153244654337565,0.230648930867513,0.17298669815063475,56702,0.5755964219570157
CO2_0p015bar_298K_mmolg,3,0.230648930867513,0.3459733963012695,0.28831116358439124,17242,0.5755964219570157
CO2_0p015bar_298K_mmolg,4,0.3459733963012695,0.461297861735026,0.40363562901814776,8846,0.5755964219570157
CO2_0p015bar_298K_mmolg,5,0.461297861735026,0.5766223271687825,0.5189600944519043,5179,0.5755964219570157
CO2_0p015bar_298K_mmolg,6,0.5766223271687825,0.691946792602539,0.6342845598856608,3359,0.5755964219570157
CO2_0p015bar_298K_mmolg,7,0.691946792602539,0.8072712580362955,0.7496090253194172,2222,0.5755964219570157
CO2_0p015bar_298K_mmolg,8,0.8072712580362955,0.922595723470052,0.8649334907531738,1742,0.5755964219570157
CO2_0p015bar_298K_mmolg,9,0.922595723470052,1.0379201889038085,0.9802579561869302,1283,0.5755964219570157
CO2_0p015bar_298K_mmolg,10,1.0379201889038085,1.153244654337565,1.0955824216206866,946,0.5755964219570157
CO2_0p015bar_298K_mmolg,11,1.153244654337565,1.2685691197713216,1.2109068870544433,784,0.5755964219570157
CO2_0p015bar_298K_mmolg,12,1.2685691197713216,1.383893585205078,1.3262313524882,598,0.5755964219570157
CO2_0p015bar_298K_mmolg,13,1.383893585205078,1.4992180506388346,1.4415558179219563,460,0.5755964219570157
CO2_0p015bar_298K_mmolg,14,1.4992180506388346,1.614542516072591,1.5568802833557127,339,0.5755964219570157
CO2_0p015bar_298K_mmolg,15,1.614542516072591,1.7298669815063477,1.6722047487894693,339,0.5755964219570157
CO2_0p015bar_298K_mmolg,16,1.7298669815063477,1.845191446940104,1.787529214223226,272,0.5755964219570157
CO2_0p015bar_298K_mmolg,17,1.845191446940104,1.9605159123738605,1.9028536796569822,228,0.5755964219570157
CO2_0p015bar_298K_mmolg,18,1.9605159123738605,2.075840377807617,2.018178145090739,178,0.5755964219570157
CO2_0p015bar_298K_mmolg,19,2.075840377807617,2.1911648432413737,2.1335026105244954,156,0.5755964219570157
CO2_0p015bar_298K_mmolg,20,2.1911648432413737,2.30648930867513,2.2488270759582516,121,0.5755964219570157
CO2_0p015bar_298K_mmolg,21,2.30648930867513,2.4218137741088865,2.3641515413920082,118,0.5755964219570157
CO2_0p015bar_298K_mmolg,22,2.4218137741088865,2.537138239542643,2.479476006825765,101,0.5755964219570157
CO2_0p015bar_298K_mmolg,23,2.537138239542643,2.6524627049764,2.5948004722595215,89,0.5755964219570157
CO2_0p015bar_298K_mmolg,24,2.6524627049764,2.767787170410156,2.710124937693278,71,0.5755964219570157
CO2_0p015bar_298K_mmolg,25,2.767787170410156,2.8831116358439126,2.8254494031270343,63,0.5755964219570157
CO2_0p015bar_298K_mmolg,26,2.8831116358439126,2.9984361012776692,2.940773868560791,53,0.5755964219570157
CO2_0p015bar_298K_mmolg,27,2.9984361012776692,3.1137605667114254,3.056098333994547,39,0.5755964219570157
CO2_0p015bar_298K_mmolg,28,3.1137605667114254,3.229085032145182,3.1714227994283037,48,0.5755964219570157
CO2_0p015bar_298K_mmolg,29,3.229085032145182,3.3444094975789387,3.2867472648620604,36,0.5755964219570157
CO2_0p015bar_298K_mmolg,30,3.3444094975789387,3.4597339630126953,3.402071730295817,31,0.5755964219570157
CO2_0p015bar_298K_mmolg,31,3.4597339630126953,3.5750584284464515,3.5173961957295736,26,0.5755964219570157
CO2_0p015bar_298K_mmolg,32,3.5750584284464515,3.690382893880208,3.63272066116333,23,0.5755964219570157
CO2_0p015bar_298K_mmolg,33,3.690382893880208,3.8057073593139648,3.7480451265970864,19,0.5755964219570157
CO2_0p015bar_298K_mmolg,34,3.8057073593139648,3.921031824747721,3.8633695920308426,20,0.5755964219570157
CO2_0p015bar_298K_mmolg,35,3.921031824747721,4.036356290181478,3.9786940574645993,14,0.5755964219570157
CO2_0p015bar_298K_mmolg,36,4.036356290181478,4.151680755615234,4.094018522898356,11,0.5755964219570157
CO2_0p015bar_298K_mmolg,37,4.151680755615234,4.267005221048991,4.2093429883321125,15,0.5755964219570157
CO2_0p015bar_298K_mmolg,38,4.267005221048991,4.3823296864827475,4.324667453765869,16,0.5755964219570157
CO2_0p015bar_298K_mmolg,39,4.3823296864827475,4.497654151916504,4.439991919199626,12,0.5755964219570157
CO2_0p015bar_298K_mmolg,40,4.497654151916504,4.61297861735026,4.555316384633382,11,0.5755964219570157
CO2_0p015bar_298K_mmolg,41,4.61297861735026,4.7283030827840165,4.670640850067138,17,0.5755964219570157
CO2_0p015bar_298K_mmolg,42,4.7283030827840165,4.843627548217773,4.785965315500895,10,0.5755964219570157
CO2_0p015bar_298K_mmolg,43,4.843627548217773,4.95895201365153,4.901289780934651,7,0.5755964219570157
CO2_0p015bar_298K_mmolg,44,4.95895201365153,5.074276479085286,5.016614246368408,6,0.5755964219570157
CO2_0p015bar_298K_mmolg,45,5.074276479085286,5.189600944519043,5.131938711802165,4,0.5755964219570157
CO2_0p015bar_298K_mmolg,46,5.189600944519043,5.3049254099528,5.247263177235921,0,0.5755964219570157
CO2_0p015bar_298K_mmolg,47,5.3049254099528,5.420249875386555,5.362587642669677,1,0.5755964219570157
CO2_0p015bar_298K_mmolg,48,5.420249875386555,5.535574340820312,5.477912108103434,2,0.5755964219570157
CO2_0p015bar_298K_mmolg,49,5.535574340820312,5.650898806254069,5.59323657353719,0,0.5755964219570157
CO2_0p015bar_298K_mmolg,50,5.650898806254069,5.766223271687825,5.708561038970947,8,0.5755964219570157
CO2_0p015bar_298K_mmolg,51,5.766223271687825,5.881547737121582,5.8238855044047035,6,0.5755964219570157
CO2_0p015bar_298K_mmolg,52,5.881547737121582,5.9968722025553385,5.93920996983846,3,0.5755964219570157
CO2_0p015bar_298K_mmolg,53,5.9968722025553385,6.112196667989095,6.054534435272217,2,0.5755964219570157
CO2_0p015bar_298K_mmolg,54,6.112196667989095,6.227521133422851,6.169858900705973,1,0.5755964219570157
CO2_0p015bar_298K_mmolg,55,6.227521133422851,6.3428455988566075,6.285183366139729,1,0.5755964219570157
CO2_0p015bar_298K_mmolg,56,6.3428455988566075,6.458170064290364,6.400507831573486,0,0.5755964219570157
CO2_0p015bar_298K_mmolg,57,6.458170064290364,6.573494529724121,6.515832297007242,0,0.5755964219570157
CO2_0p015bar_298K_mmolg,58,6.573494529724121,6.688818995157877,6.631156762440999,0,0.5755964219570157
CO2_0p015bar_298K_mmolg,59,6.688818995157877,6.804143460591634,6.746481227874756,1,0.5755964219570157
CO2_0p015bar_298K_mmolg,60,6.804143460591634,6.919467926025391,6.861805693308512,1,0.5755964219570157
CO2_0p150bar_298K_mmolg,1,0.0,0.23202039400736493,0.11601019700368247,32892,3.26669065952301
CO2_0p150bar_298K_mmolg,2,0.23202039400736493,0.46404078801472987,0.3480305910110474,78454,3.26669065952301
CO2_0p150bar_298K_mmolg,3,0.46404078801472987,0.6960611820220948,0.5800509850184123,43472,3.26669065952301
CO2_0p150bar_298K_mmolg,4,0.6960611820220948,0.9280815760294597,0.8120713790257772,27636,3.26669065952301
CO2_0p150bar_298K_mmolg,5,0.9280815760294597,1.1601019700368247,1.0440917730331423,18634,3.26669065952301
CO2_0p150bar_298K_mmolg,6,1.1601019700368247,1.3921223640441895,1.2761121670405071,13970,3.26669065952301
CO2_0p150bar_298K_mmolg,7,1.3921223640441895,1.6241427580515546,1.508132561047872,10728,3.26669065952301
CO2_0p150bar_298K_mmolg,8,1.6241427580515546,1.8561631520589195,1.740152955055237,8483,3.26669065952301
CO2_0p150bar_298K_mmolg,9,1.8561631520589195,2.0881835460662845,1.972173349062602,7002,3.26669065952301
CO2_0p150bar_298K_mmolg,10,2.0881835460662845,2.3202039400736494,2.204193743069967,6005,3.26669065952301
CO2_0p150bar_298K_mmolg,11,2.3202039400736494,2.5522243340810142,2.436214137077332,5344,3.26669065952301
