target,target_label,n_shortlist,dataset_n,dataset_median,dataset_mean,dataset_top1_threshold,dataset_top5_threshold,dataset_top10_threshold,shortlist_true_median,shortlist_true_mean,shortlist_pred_median,fold_enrichment_vs_dataset_median,median_true_percentile,fraction_true_top1pct,fraction_true_top5pct,fraction_true_top10pct,false_positive_fraction_vs_top5pct,median_abs_error_in_shortlist,target_label_plain
CO2_0p015bar_298K_mmolg,CO_2 0.015 bar,250,279010,0.0890429988503456,0.1703828456598239,1.4302700603008045,0.5755964219570157,0.3462652027606965,1.1195949912071228,1.58616218432039,2.0961386486365,12.57364425797051,0.9834504139636572,0.444,0.656,0.752,0.344,1.4625703365909486,CO2 0.015 bar
CO2_0p150bar_298K_mmolg,CO_2 0.150 bar,250,279010,0.6025840044021606,1.0088711548516092,4.665226607322686,3.26669065952301,2.4813610553741454,4.798778533935547,5.179575555086136,5.129269560515929,7.96366730427327,0.9916382925343176,0.54,0.804,0.892,0.1959999999999999,1.517417111835679,CO2 0.150 bar
CH4_5p8bar_298K_mmolg,CH_4 5.8 bar,250,279010,4.044678449630737,4.181907237087321,7.630048031806935,6.666360521316528,6.154218292236328,8.122066020965576,8.091751905441285,7.577096314393914,2.008086952303239,0.9962617827318015,0.768,0.992,1.0,0.008,0.5757096366063772,CH4 5.8 bar
CH4_65bar_298K_mmolg,CH_4 65 bar,250,279010,15.17331886291504,15.593156281536256,32.75890132904052,27.47998533248901,24.746169090271,41.41243362426758,41.98545584106445,38.46905266290339,2.729293043823346,0.999200745492993,0.992,1.0,1.0,0.0,3.13449883894576,CH4 65 bar
